"CASTILLA Y LEÓN","1.5259249106078696","1.423","1.6013999999999997","1.666851464435146","1.493","1.3973790697674435","1.4782196261682239","0.9805820105820104","1.0665","","1.422","0.8483870967741937","1.0610000000000002","1.014857142857143"
"LA RIOJA","1.5218157894736841","","1.589","1.6752307692307693","","1.3895555555555552","1.4802545454545453","0.9504074074074074","","","","0.8156666666666667","",""
"ARAGÓN","1.509214099216711","","1.5983461538461543","1.6616770833333334","","1.3648762135922339","1.4523950177935943","0.934473684210526","0.958","","","0.8261176470588236","0.98925","0.9880000000000001"
"PAIS VASCO","1.5496632302405495","","1.6162666666666665","1.7009756097560982","","1.4181764705882358","1.5079446808510628","1.0367368421052625","1.0276666666666667","1.5830000000000002","1.419","0.837529411764706","1.0312857142857144","1.00225"
"COMUNIDAD VALENCIANA","1.5037257525083603","1.5835","1.5883999999999996","1.6598027108433728","1.665","1.3662489762489738","1.458281672816728","0.9734474708171214","0.959","","1.3384999999999998","0.8335138888888887","1.0450000000000002","0.9918999999999999"
"NAVARRA","1.517165829145728","1.479","1.5898333333333332","1.6682121212121213","","1.3669276018099548","1.4583301886792452","0.9242211538461538","0.991","","","0.807842105263158","1.017","0.904"
"CATALUÑA","1.515572598659718","1.549","1.5894025974025974","1.6826130136986313","","1.376288984263235","1.4707912317327765","0.981131979695432","1.0478571428571428","1.702","1.3043846153846153","0.8466814159292038","1.062636363636364","0.9890769230769231"
"GALICIA","1.5357563527653215","","1.5977096774193549","1.6657142857142846","1.639","1.4053735119047612","1.4807744360902275","1.019154929577465","0.9846666666666666","1.759","","0.8370816326530613","1.099","1.09"
"MURCIA","1.4858614609571792","","1.5278055555555556","1.6243027888446209","","1.3511033653846147","1.4303247588424444","0.9780403225806454","1.083","","","0.8479999999999999","1.0462","0.9605"
"CASTILLA LA MANCHA","1.5149565217391319","","1.5812407407407405","1.6467969151670943","1.625","1.3947673796791442","1.4819763313609466","0.9342178217821779","0.809","","","0.8499199999999998","1.0133636363636365","0.9950000000000001"
"","","","","","","","","","","","","","",""
"BALEARES","1.5874020100502513","","1.6688749999999999","1.736269841269842","","1.4581608040201006","1.5325548387096781","1.051970588235294","1.079","","","0.8102999999999999","",""
"MADRID","1.5449811827956987","1.609","1.6288194444444446","1.7011021739130425","","1.4176946666666665","1.502958263772953","1.0408974358974359","1.049","","1.729","0.8524516129032258","1.2308499999999998","1.0755000000000001"
"ANDALUCÍA","1.512801782905085","1.5590000000000002","1.5907933333333333","1.6624774396642183","1.499","1.3803153013910339","1.467762699014403","0.9660420000000006","","","1.3273333333333333","0.862941666666667","1.015","0.9461666666666667"
"MELILLA","1.1631538461538462","","","","","1.0353846153846156","1.0798","","","","","","",""
"CANARIAS","1.172055679287305","","1.141","1.2952096774193556","","1.1035144124168519","1.217798816568048","","","","","0.6856666666666666","",""
"CEUTA","1.22875","","1.269","1.2583333333333333","","1.1335","1.1743333333333335","","","","","","",""
"CANTABRIA","1.5240694444444438","","1.619","1.6614499999999996","","1.3873310344827585","1.4711875","0.9648571428571427","","","1.3276666666666668","0.8393636363636364","",""
"EXTREMADURA","1.5071489971346708","","1.5803333333333334","1.6536935483870971","","1.3963076923076925","1.4867522935779809","0.9527575757575758","","","1.358","0.849","1.0763333333333334","1.01"
"ASTURIAS","1.530927884615384","","1.5893124999999997","1.6727183098591547","","1.398484018264841","1.4798546511627915","1.0273278688524587","1.009","1.719","","0.876421052631579","1.0350000000000001","1.05"
